'53567', 1953, 10, 26,'26-10-1953',-999, -999, -999, .8, -999, -999, -999, -999, -999, -999, -999, -999, -999
'53567', 1953, 10, 27,'27-10-1953',-999, -999, -999, .8, -999, -999, -999, -999, -999, -999, -999, -999, -999
'53567', 1953, 10, 28,'28-10-1953',-999, -999, -999, .7, -999, -999, -999, -999, -999, -999, -999, -999, -999
'53567', 1953, 10, 29,'29-10-1953',-999, -999, -999, .7, -999, -999, -999, -999, -999, -999, -999, -999, -999
'53567', 1953, 10, 30,'30-10-1953',-999, -999, -999, .7, -999, -999, -999, -999, -999, -999, -999, -999, -999
'53567', 1953, 10, 31,'31-10-1953',-999, -999, -999, .6, -999, -999, -999, -999, -999, -999, -999, -999, -999
'53567', 1953, 11, 1,'01-11-1953',-999, -999, -999, .6, -999, -999, -999, -999, -999, -999, -999, -999, -999
'53567', 1953, 11, 2,'02-11-1953',-999, -999, -999, .6, -999, -999, -999, -999, -999, -999, -999, -999, -999
'53567', 1953, 11, 3,'03-11-1953',-999, -999, -999, .6, -999, -999, -999, -999, -999, -999, -999, -999, -999
'53567', 1953, 11, 4,'04-11-1953',-999, -999, -999, .6, -999, -999, -999, -999, -999, -999, -999, -999, -999
'53567', 1953, 11, 5,'05-11-1953',-999, -999, -999, .6, -999, -999, -999, -999, -999, -999, -999, -999, -999
'53567', 1953, 11, 6,'06-11-1953',-999, -999, -999, .5, -999, -999, -999, -999, -999, -999, -999, -999, -999
'53567', 1953, 11, 7,'07-11-1953',-999, -999, -999, .5, -999, -999, -999, -999, -999, -999, -999, -999, -999
'53567', 1953, 11, 8,'08-11-1953',-999, -999, -999, .4, -999, -999, -999, -999, -999, -999, -999, -999, -999
'53567', 1953, 11, 9,'09-11-1953',-999, -999, -999, .4, -999, -999, -999, -999, -999, -999, -999, -999, -999
'53567', 1953, 11, 10,'10-11-1953',-999, -999, -999, .3, -999, -999, -999, -999, -999, -999, -999, -999, -999
'53567', 1953, 11, 11,'11-11-1953',-999, -999, -999, .3, -999, -999, -999, -999, -999, -999, -999, -999, -999
'53567', 1953, 11, 12,'12-11-1953',-999, -999, -999, .3, -999, -999, -999, -999, -999, -999, -999, -999, -999
'53567', 1953, 11, 13,'13-11-1953',-999, -999, -999, .3, -999, -999, -999, -999, -999, -999, -999, -999, -999
'53567', 1953, 11, 14,'14-11-1953',-999, -999, -999, .2, -999, -999, -999, -999, -999, -999, -999, -999, -999
'53567', 1953, 11, 15,'15-11-1953',-999, -999, -999, .2, -999, -999, -999, -999, -999, -999, -999, -999, -999
'53567', 1953, 11, 16,'16-11-1953',-999, -999, -999, .2, -999, -999, -999, -999, -999, -999, -999, -999, -999
'53567', 1953, 11, 17,'17-11-1953',-999, -999, -999, .2, -999, -999, -999, -999, -999, -999, -999, -999, -999
'53567', 1953, 11, 18,'18-11-1953',-999, -999, -999, .2, -999, -999, -999, -999, -999, -999, -999, -999, -999
'53567', 1953, 11, 19,'19-11-1953',-999, -999, -999, .2, -999, -999, -999, -999, -999, -999, -999, -999, -999
'53567', 1953, 11, 20,'20-11-1953',-999, -999, -999, .1, -999, -999, -999, -999, -999, -999, -999, -999, -999
'53567', 1953, 11, 21,'21-11-1953',-999, -999, -999, .2, -999, -999, -999, -999, -999, -999, -999, -999, -999
'53567', 1953, 11, 22,'22-11-1953',-999, -999, -999, .2, -999, -999, -999, -999, -999, -999, -999, -999, -999
'53567', 1953, 11, 23,'23-11-1953',-999, -999, -999, .1, -999, -999, -999, -999, -999, -999, -999, -999, -999
'53567', 1953, 11, 24,'24-11-1953',-999, -999, -999, .1, -999, -999, -999, -999, -999, -999, -999, -999, -999
'53567', 1953, 11, 25,'25-11-1953',-999, -999, -999, .1, -999, -999, -999, -999, -999, -999, -999, -999, -999
'53567', 1953, 11, 26,'26-11-1953',-999, -999, -999, .1, -999, -999, -999, -999, -999, -999, -999, -999, -999
'53567', 1953, 11, 27,'27-11-1953',-999, -999, -999, .1, -999, -999, -999, -999, -999, -999, -999, -999, -999
'53567', 1953, 11, 28,'28-11-1953',-999, -999, -999, .1, -999, -999, -999, -999, -999, -999, -999, -999, -999
